code,barcode
258868,819913014840
1015386,5060715581473
134652,8712566400010
115226,5010421092442
144954,5000227502344
250965,7615400792450
1012570,5019890198303
82342,5010319061000
210224,5010234963700
256288,7622210580924
626515,5011295100226
248969,5000232020116
195225,5020379089043
155149,5018095000138
1012500,5055198028379
256009,4600680010816
80763,3419280011441
237348,5010459001263
223074,5019890041500
133268,5020379021050
190774,5000168187464
153695,5020387000528
255846,5020379156998
189683,5060414170985
1014492,5015397583536
181915,4049366002613
105515,5055198004007
252663,5039161000180
238332,5000108105138
220685,4060800135094
235054,8001090705600
125805,5020379045155
211067,8712566328406
249735,5016860000178
60407,5011295055304
201926,7613035298989
106289,5020379023009
116436,7613033446313
259132,604565400192
249848,5000159523295
216164,5060108450959
156565,5020379072502
216963,5010478602373
168047,5000193640989
184963,5000237117095
1014888,5060414178332
184206,5011929137710
249485,7622210705433
177475,5060217170502
106497,7321011805907
89528,5020379004978
221137,5020379116220
178108,5000295147393
251303,5020379153102
177962,8010558404108
1016357,8421939070063
1012598,8717624244957
203482,5000116111114
108154,5020379016018
147808,5020379069434
111637,5020379029490
208343,5010134911801
141775,5020379060882
234242,5000159510769
271341,5011295147290
12538,5010421073427
762617,5011295051115
141749,5020379060738
186034,5020379023344
184456,5010134912150
168770,5020379075473
61978,5000111001007
590646,8000500003787
218828,5020379115995
234339,8410793282965
722410,5013635101054
147174,5020379069557
249176,5060080973781
256011,5011295000045
120985,4000186010707
1014840,5060414177861
101809,5019989100668
241357,5050665023741
1011816,8435561000237
229604,5020379122924
1016475,8717624242144
233035,5020379136167
1011551,5060414172286
195262,5020379089081
187627,5060100211268
1014623,5055198010343
248897,5000143937336
932350,5011157030401
240114,42356165
156567,5020379072526
242658,8714100396186
1015007,5060414179520
141517,5020379059633
249592,5020379151887
245433,5018970093040
93957,5012686003003
212336,4251097402918
240768,5000185114450
85263,5011428100048
226649,8714100535301
1012304,5056105102816
1015239,5060715580018
246371,5010102241763
260236,90446344
225986,5020379123570
856401,5011295150153
139554,5021006029050
149788,5020379070102
141179,5000184502524
1014770,5060414177182
1015356,5060715581176
259263,8001090011541
1015343,5060715581053
146813,7622210157638
237429,7613031390342
93774,5011295056424
252524,5020379153997
124324,5020379044547
234206,5020379149686
1016350,8033481490390
249133,96184394
1015308,5060715580704
84887,5011295122501
249555,5000354914355
184433,5010029219302
200242,5060597160179
662710,5011295000816
145842,5055757100744
253774,5060221205320
144263,5020379066549
741678,5000146048459
170605,3052853075909
259532,5029054659663
1015276,5060715580384
249597,5060080973903
255045,5060639126453
258469,4015400755456
1014925,5060414178707
237889,8411457118040
89868,5038486100100
99968,9322214009961
258888,5000354800870
239593,5020379143783
201620,5000328698823
242987,5020379144865
260386,5011417575871
237048,5020379139045
223122,5020261111258
762542,5011295051139
45555,5000394017641
182684,5018811000022
121283,5019911812119
159131,9300727488206
1014275,8437009886830
851890,5012035912345
178347,8009620825040
1013083,5055198022896
241819,5028820058631
168768,5020379075442
111362,5012144812581
162457,5020379070638
130234,5020379051279
217457,5020379114325
111052,5050328001758
245034,732068882617
250832,5449000276025
195267,5060154914160
1011516,5056105110446
240587,3329770062528
248265,5011417569436
102916,5017764112134
162562,5020379070270
188387,5694310800044
96782,5011417547755
240099,80052043
