code,img_small_url,name,por,rrp,rt_qty,storage_type,sub_cat_code,vat,ws_qty,wsp_exl_vat
30601,https://www.booker.co.uk/bbimages/1/2e848d22-212f-4c72-8380-0b7ca05a064a.jpg,Jus-Rol Party Size Vol Au Vent Pastry x60 625g,,,60s,Frozen,CS13_200440,0,,3.59
598714,https://www.booker.co.uk/bbimages/1/80bc86b6-02e2-4c17-b209-6b4695f20428.jpg,Jus-Rol Puff Pastry Block 1.5kg,,,1.5kg,Frozen,CS13_200440,0,4,12.69
598664,https://www.booker.co.uk/bbimages/1/80bc86b6-02e2-4c17-b209-6b4695f20428.jpg,Jus-Rol Puff Pastry Block 1.5kg,,,1.5kg,Frozen,CS13_200440,0,,3.19
598030,https://www.booker.co.uk/bbimages/1/2d5c8083-faee-49bd-823d-85039bdfed8a.jpg,Jus-Rol Puff Pastry Ovals x48 2.9kg,,,48x60g,Frozen,CS13_200440,0,4,36.75
598040,https://www.booker.co.uk/bbimages/1/2d5c8083-faee-49bd-823d-85039bdfed8a.jpg,Jus-Rol Puff Pastry Ovals x48 2.9kg,,,48x60g,Frozen,CS13_200440,0,,9.19
143545,https://www.booker.co.uk/bbimages/1/c2f89040-d46a-44a6-b2f1-66ac21b94404.jpg,Jus-Rol Shortcrust Pastry Block 1.5kg,,,1.5kg,Frozen,CS13_200440,0,4,12.69
143537,https://www.booker.co.uk/bbimages/1/c2f89040-d46a-44a6-b2f1-66ac21b94404.jpg,Jus-Rol Shortcrust Pastry Block 1.5kg,,,1.5kg,Frozen,CS13_200440,0,,3.19
199428,https://www.booker.co.uk/bbimages/1/aaa23c50-5940-44ba-90fb-5cefd6d673a7.jpg,"Love Pies Chicken, Ham & Buttered Leek Pies 6 x 350g",,,6x350g,Frozen,CS13_200440,0,8,114.29
199429,https://www.booker.co.uk/bbimages/1/aaa23c50-5940-44ba-90fb-5cefd6d673a7.jpg,"Love Pies Chicken, Ham & Buttered Leek Pies 6 x 350g",,,6x350g,Frozen,CS13_200440,0,,14.29
82937,https://www.booker.co.uk/bbimages/1/d4ddc52a-badc-4d14-be4d-80a04e5b0bcd.jpg,Peakhouse Pantry Traditional Gala Pork Pie 2.1kg,,,18ptn,Frozen,CS13_200440,0,4,54.75
82938,https://www.booker.co.uk/bbimages/1/d4ddc52a-badc-4d14-be4d-80a04e5b0bcd.jpg,Peakhouse Pantry Traditional Gala Pork Pie 2.1kg,,,18ptn,Frozen,CS13_200440,0,,13.69
78855,https://www.booker.co.uk/bbimages/1/cc2bf0bd-1f52-4c7f-ae60-23e993767046.jpg,Pukka-Pies All Steak Pie x 6,,,6s,Frozen,CS13_200440,0,8,59.09
78856,https://www.booker.co.uk/bbimages/1/cc2bf0bd-1f52-4c7f-ae60-23e993767046.jpg,Pukka-Pies All Steak Pie x 6,,,6s,Frozen,CS13_200440,0,,7.39
78858,https://www.booker.co.uk/bbimages/1/5b47f8b5-64dc-4c1e-8b5e-62588c958854.jpg,Pukka-Pies Chicken & Mushroom Pie x 6,,,6s,Frozen,CS13_200440,0,8,59.09
78859,https://www.booker.co.uk/bbimages/1/5b47f8b5-64dc-4c1e-8b5e-62588c958854.jpg,Pukka-Pies Chicken & Mushroom Pie x 6,,,6s,Frozen,CS13_200440,0,,7.39
78862,https://www.booker.co.uk/bbimages/1/6f134e7b-2c6d-4701-9a9a-7c6e3ba69ee2.jpg,Pukka-Pies Steak & Kidney Pie x 6,,,6s,Frozen,CS13_200440,0,8,59.09
78863,https://www.booker.co.uk/bbimages/1/6f134e7b-2c6d-4701-9a9a-7c6e3ba69ee2.jpg,Pukka-Pies Steak & Kidney Pie x 6,,,6s,Frozen,CS13_200440,0,,7.39
234323,https://www.booker.co.uk/bbimages/1/5971599d-60de-476d-8951-83eadc7b9904.jpg,Traiteur de Paris 54 Vegetarian Canapes 540g,,,54s,Frozen,CS13_200440,0,5,93.75
234324,https://www.booker.co.uk/bbimages/1/5971599d-60de-476d-8951-83eadc7b9904.jpg,Traiteur de Paris 54 Vegetarian Canapes 540g,,,54s,Frozen,CS13_200440,0,,18.75
93603,https://www.booker.co.uk/bbimages/1/d855af6d-342b-4828-a01e-ab25ac1a43e6.jpg,Tsingtao Vegetable Samosas 750g,,,60s,Frozen,CS13_200440,0,10,31.89
93604,https://www.booker.co.uk/bbimages/1/d855af6d-342b-4828-a01e-ab25ac1a43e6.jpg,Tsingtao Vegetable Samosas 750g,,,60s,Frozen,CS13_200440,0,,3.19
93589,https://www.booker.co.uk/bbimages/1/a7ee5477-51aa-4b26-976b-e1f5e03d7b08.jpg,Tsingtao Vegetable Spring Rolls 750g,,,50x15g,Frozen,CS13_200440,0,10,31.89
93602,https://www.booker.co.uk/bbimages/1/a7ee5477-51aa-4b26-976b-e1f5e03d7b08.jpg,Tsingtao Vegetable Spring Rolls 750g,,,50x15g,Frozen,CS13_200440,0,,3.19
135801,https://www.booker.co.uk/bbimages/1/5d005b5c-f4e4-4ffe-8860-001e12e424c2.jpg,UM Indian Platter 75 Party Piece 1.35kg,,,1.35kg,Frozen,CS13_200440,0,8,47.89
135802,https://www.booker.co.uk/bbimages/1/5d005b5c-f4e4-4ffe-8860-001e12e424c2.jpg,UM Indian Platter 75 Party Piece 1.35kg,,,1.35kg,Frozen,CS13_200440,0,,5.99
135788,https://www.booker.co.uk/bbimages/1/403b2d9b-533e-4917-8955-95f72f32ceb0.jpg,UM Oriental Platter 60 Party Piece 900g,,,900g,Frozen,CS13_200440,0,10,54.89
