additional_information,additives,alcohol_units,alcohol_volume,allergy_advice,alternative_products,beverage_type,brand,cat_id,closure_type,code,current_vintage,description,freezing_guidelines,grape_variety,img_big_guid,img_small_guid,ingredients,manufacturer,name,nutrition_notes,nutrition_table,on_offer,origin_country,pack_type,packaging,packed_country,por,prepare_and_use,producer,recycling,rrp,rt_qty,shelf_id,size,storage_information,storage_type,sub_cat_id,tasting_notes,unit_description,vat,wine_colour,wine_maker,ws_qty,wsp_exl_vat,wsp_inc_vat
,,,,,,,,,,256125,,,,,,/bbimages/1/7c27a9f4-bf34-4785-af35-72fe157303f8.jpg,,,Amstel Bier Premium Pilsener 440ml £4.75 PMP Cans,,,,,,,,20.9%,,,,£4.75,4x440ml,,,,Ambient,,,,20%,,,"Case of,6",£18.79,
,,,,,,,,,,233777,,,,,,/bbimages/1/3b77ebd0-37c3-4da2-82e0-3917fd3048bc.jpg,,,Asahi Super Dry 4 x 330ml,,,,,,,,21.6%,,,,£5.99,4x330ml,,,,Ambient,,,,20%,,,"Case of,6",£23.49,
,,,,,,,,,,234098,,,,,,/bbimages/1/a10379ae-39a0-41bb-b19f-fc47b526a907.jpg,,,Asahi Super Dry 620ml,,,,,,,,29.0%,,,,£3.29,620ml,,,,Ambient,,,,20%,,,"Case of,12",£23.35,
,,,,,,,,,,56033,,,,,,/bbimages/1/bde72c8a-6147-4aea-84da-ed520536bf26.jpg,,,Bangla Premium Beer 660ml,,,,,,,,29.8%,,,,£2.99,660ml,,,,Ambient,,,,20%,,,"Case of,12",£20.99,
,,,,,,,,,,258676,,,,,,/bbimages/1/96c98419-6dae-4911-b9a5-b80d40b5b5a9.jpg,,,Beck's Beer 24 x 275ml,,,,,,,,39.6%,,,,£1.24,275ml,,,,Ambient,,,,20%,,,"Case of,24",£14.99,
,,,,,,,,,,220235,,,,,,/bbimages/1/8333e696-d5b8-4dcf-ad60-7a52eb653d1a.jpg,,,Beck's Blue Alcohol Free Beer Bottles 6 x 275ml,,,,,,,,21.9%,,,,£4.99,6x275ml,,,,Ambient,,,,20%,,,"Case of,4",£12.99,
,,,,,,,,,,258678,,,,,,/bbimages/1/fbcb459e-b4e4-4395-8195-7b51635f6961.jpg,,,Beck's German Pilsner Beer Bottle 660ml,,,,,,,,32.5%,,,,£2.59,660ml,,,,Ambient,,,,20%,,,"Case of,12",£17.49,
,,,,,,,,,,239506,,,,,,/graphics/ni/ni90.jpg,,,Becks PM649,,,,,,,,23.8%,,,,£6.49,6x275ml,,,,Ambient,,,,20%,,,"Case of,4",£16.49,
,,,,,,,,,,247477,,,,,,/bbimages/1/348c1a73-5030-4f5c-b75d-a19dc7db3962.jpg,,,Birra Moretti Lager Beer 12 x 330ml Bottles,,,,,,,,18.6%,,,,£13.99,12x330m,,,,Ambient,,,,20%,,,,£9.49,
,,,,,,,,,,84876,,,,,,/bbimages/1/59038553-5656-49db-9fc2-a33c125ec3b0.jpg,,,Birra Moretti Lager Beer 24 x 330ml Bottles,,,,,,,,34.0%,,,,£1.59,330ml,,,,Ambient,,,,20%,,,"Case of,24",£20.99,
,,,,,,,,,,232386,,,,,,/bbimages/1/c599eae1-0ac0-4463-9862-efba289cca17.jpg,,,Birra Moretti Lager Beer 4 x 330ml Bottles,,,,,,,,24.9%,,,,£5.99,4x330ml,,,,Ambient,,,,20%,,,"Case of,6",£22.49,
,,,,,,,,,,218118,,,,,,/bbimages/1/5831756f-5192-4e1b-9d8c-92f5a8079ecf.jpg,,,Birra Moretti Lager Beer 660ml Bottle,,,,,,,,30.8%,,,,£2.89,660ml,,,,Ambient,,,,20%,,,"Case of,12",£19.99,
,,,,,,,,,,260169,,,,,,/bbimages/1/d46eea6d-9e0f-4d00-b56e-e680589252bb.jpg,,,Birra Moretti Premium Lager 6 x 500ml,,,,,,,,50.1%,,,,£11.99,6X500ML,,,,Ambient,,,,20%,,,,£4.99,
,,,,,,,,,,133277,,,,,,/bbimages/1/1e1a31d7-29b9-4a85-a270-6cc132b9f74b.jpg,,,Brahma Premium Lager 330ml,,,,,,,,35.2%,,,,£1.35,330ml,,,,Ambient,,,,20%,,,"Case of,24",£17.49,
,,,,,,,,,,251964,,,,,,/bbimages/1/5d26eea5-997c-48a8-82c9-74e7d039abf5.jpg,,,BrewDog Punk AF Alcohol Free IPA 330ml,,,,,,,,26.2%,,,,£1.49,330ml,,,,Ambient,,,,20%,,,"Case of,12",£10.99,
,,,,,,,,,,249374,,,,,,/graphics/ni/ni90.jpg,,,Bud Light PM400,,,,,,,,22.6%,,,,£4.00,4x440ml,,,,Ambient,,,,20%,,,"Case of,6",£15.49,
,,,,,,,,,,193682,,,,,,/bbimages/1/c739cd64-35fe-459d-8127-c26e3e665e67.jpg,,,Budweiser Budvar Original Czech Lager 10 x 500ml,,,,,,,,33.4%,,,,£2.25,500ml,,,,Ambient,,,,20%,,,"Case of,10",£12.49,
,,,,,,,,,,233157,,,,,,/bbimages/1/3147641e-5fde-48ce-b28c-76a4cd4aa587.jpg,,,Budweiser King of Beers Lager Beer 12 x 300ml,,,,,,,,12.0%,,,,£11.99,12x300m,,,,Ambient,,,,20%,,,,£8.79,
,,,,,,,,,,233096,,,,,,/bbimages/1/d114ca8c-d2d6-4b06-81c5-edceb383c1e6.jpg,,,Budweiser Lager Beer Bottle 660ml,,,,,,,,32.4%,,,,£2.69,660ml,,,,Ambient,,,,20%,,,"Case of,12",£18.19,
,,,,,,,,,,235376,,,,,,/bbimages/1/8002a5c4-e1b1-4747-b70b-c4e074393c20.jpg,,,Budweiser Lager Beer Bottles 20 x 300ml,,,,,,,,12.0%,,,,£14.99,20x300m,,,,Ambient,,,,20%,,,,£10.99,
,,,,,,,,,,233154,,,,,,/bbimages/1/c15b5607-c7d9-46d1-849e-acdb90598496.jpg,,,Budweiser Lager Beer Cans 4 x 500ml,,,,,,,,21.0%,,,,£5.69,4x500ml,,,,Ambient,,,,20%,,,"Case of,6",£22.49,
,,,,,,,,,,233112,,,,,,/bbimages/1/cae25b0c-6f8d-47f3-a83f-dcab49fb0118.jpg,,,Budweiser Lager Beer Cans 4 x 568ml,,,,,,,,22.1%,,,,£6.29,4x568ml,,,,Ambient,,,,20%,,,"Case of,6",£24.49,
,,,,,,,,,,233192,,,,,,/bbimages/1/171a268f-ef29-4bd0-962b-0076c927ad93.jpg,,,Budweiser Lager Beer Cans 4 x 568ml,,,,,,,,31.6%,,,,£1.79,568ml,,,,Ambient,,,,20%,,,"Case of,24",£24.49,
