BPLIC,alt,category,info_r1,info_r2,pack,price,promotionText
130543,"Corona Lager Beer Bottle 710ml,Ambient,Add to List",£19.99,,,"Case of,12",£19.99,
87646,"Corona Lager Beer Bottles 12 x 330ml,Ambient,Add to List",£9.49,,,,£9.49,
121844,"Desperados Tequila Lager Beer 3 x 330ml Bottles,Ambient,Add to List",£27.49,,,"Case of,8",£27.49,
201424,"Desperados Tequila Lager Beer 4 x 500ml Cans,Ambient,Add to List",£26.99,,,"Case of,24",£26.99,
177728,"Desperados Tequila Lager Beer 650ml Bottle,Ambient,Add to List",£22.49,,,"Case of,12",£22.49,
162663,"Efes Draft 50cl,Ambient,Add to List",£14.49,,,"Case of,12",£14.49,
69669,"Efes Pilsener Beer 33cl,Ambient,Add to List",£18.49,,,"Case of,24",£18.49,
234339,"Estrella Damm Beer 660ml,Ambient,Add to List",£19.99,,,"Case of,12",£19.99,
259299,"Fosters,Ambient,Add to List",£7.25,,,,£7.25,
259757,"Fosters Lager,Ambient,Add to List",£17.89,,,"Case of,6",£17.89,
251316,"Foster's Lager Beer 18 x 440ml Cans,Ambient,Add to List",£12.99,,,,£12.99,
233319,"Fosters PM4/550,Ambient,Add to List",£21.99,,,"Case of,6",£21.99,
252278,"Heineken 0.0 Premium Lager Beer 24 x 330ml,Ambient,Add to List",£12.79,,,"Case of,24",£12.79,
257538,"Heineken Lager Beer 10 x 440ml,Ambient,Add to List",£8.99,,,,£8.99,
163581,"Heineken Lager Beer 650ml,Ambient,Add to List",£18.29,,,"Case of,12",£18.29,
143683,"Heineken Premium Lager Beer 12 x 330ml,Ambient,Add to List",£16.99,,,"Case of,2",£16.99,
34634,"Heineken Premium Lager Beer 4 x 330ml,Ambient,Add to List",£18.99,,,"Case of,6",£18.99,
246308,"Heineken Premium Lager Beer 4 x 568ml Cans,Ambient,Add to List",£24.99,,,"Case of,6",£24.99,
227506,"Hop House 13 Lager 12 x 650ml Bottle,Ambient,Add to List",£19.99,,,"Case of,12",£19.99,
262593,"Hop House 13 Lager 12 x 650ml Bottle,Ambient,Add to List",£16.49,,,"Case of,12",£16.49,
889253,"Kingfisher Premium Lager Beer 650ml,Ambient,Add to List",£22.99,,,"Case of,24",£22.99,
212206,"Kronenbourg 1664 Lager Beer 10 x 440ml Cans,Ambient,Add to List",£17.49,,,"Case of,2",£17.49,
163994,"Kronenbourg 1664 Lager Beer 12 x 275ml Bottles,Ambient,Add to List",£8.69,,,,£8.69,
142186,"Kronenbourg 1664 Lager Beer 15 x 275ml Bottles,Ambient,Add to List",£5.99,,,,£5.99,
244332,"Kronenbourg 1664 Lager Beer 4 x 568ml Can,Ambient,Add to List",£24.99,,,"Case of,6",£24.99,
104055,"Kronenbourg 1664 Lager Beer 660ml Bottle,Ambient,Add to List",£20.79,,,"Case of,12",£20.79,
244568,"Awaiting image,Ambient,Add to List",£19.49,,,"Case of,6",£19.49,
236886,"Lech 20 x 500ml,Ambient,Add to List",£23.49,,,"Case of,20",£23.49,
236887,"Lech 4 x 500ml,Ambient,Add to List",£22.99,,,"Case of,6",£22.99,
256684,"Leffe Blonde Abbey Beer Bottle 330ml,Ambient,Add to List",£13.25,,,"Case of,12",£13.25,
248035,"Lynx Premium Lager 4 x 500ml,Ambient,Add to List",£16.79,,,"Case of,6",£16.79,
248036,"Lynx Premium Lager Pilsner 4 x 500ml,Ambient,Add to List",£7.49,,,"Case of,6",£7.49,
248063,"Lynx Premium Lager Super 500ml,Ambient,Add to List",£23.99,,,"Case of,24",£23.99,
75806,"Mythos Hellenic Lager Beer 330ml,Ambient,Add to List",£18.99,,,"Case of,24",£18.99,
162723,"Mythos Premium Quality Hellenic Beer 500ml,Ambient,Add to List",£14.49,,,"Case of,12",£14.49,
246229,"Oranjeboom Premium Lager Beer Original 4 x 500ml,Ambient,Add to List",£18.99,,,"Case of,6",£18.99,
251963,"Peroni Libera 12 x 330ml,Ambient,Add to List",£7.99,,,,£7.99,
112355,"Peroni Nastro Azzurro 12 x 330ml,Ambient,Add to List",£12.29,,,,£12.29,
194577,"Peroni Nastro Azzurro 12 x 620ml,Ambient,Add to List",£22.49,,,"Case of,12",£22.49,
210966,"Peroni Nastro Azzurro 4 x 330ml,Ambient,Add to List",£23.49,,,"Case of,6",£23.49,
244628,"Red Stripe Jamaican Lager Beer 4 x 440ml Can,Ambient,Add to List",£19.69,,,"Case of,6",£19.69,
256127,"Red Stripe Jamaican Lager Beer 4 x 568ml Can,Ambient,Add to List",£25.49,,,"Case of,6",£25.49,
259679,"Red Stripe Jamaican Lager Beer 6 x 330ml Bottles,Ambient,Add to List",£15.99,,,"Case of,4",£15.99,
87242,"Sagres 24 x 330ml,Ambient,Add to List",£20.49,,,"Case of,24",£20.49,
261513,"San Miguel Gluten Free Lager Beer 4 x 330ml,Ambient,Add to List",£23.99,,,"Case of,6",£23.99,
237097,"San Miguel Premium Lager Beer 10 x 440ml,Ambient,Add to List",£16.99,,,"Case of,2",£16.99,
19205,"San Miguel Premium Lager Beer 4 x 330ml,Ambient,Add to List",£17.99,,,"Case of,6",£17.99,
250722,"San Miguel Premium Lager Beer 4 x 500ml,Ambient,Add to List",£24.49,,,"Case of,6",£24.49,
260185,"San Miguel Premium Lager Beer 5.4% ABV 8 x 330ml,Ambient,Add to List",£10.99,,,"Case of,3",£10.99,
90305,"San Miguel Premium Lager Beer 660ml,Ambient,Add to List",£12.99,,,"Case of,8",£12.99,
111513,"Singha Thai Premium Lager 630ml,Ambient,Add to List",£17.99,,,"Case of,12",£17.99,
247525,"Sol Original Lager Beer 12 x 330ml Bottles,Ambient,Add to List",£7.99,,,,£7.99,
251463,"Sol Original Lager Beer 330ml Bottle,Ambient,Add to List",£17.49,,,"Case of,24",£17.49,
251472,"Sol Original Lager Beer 4 x 330ml Bottles,Ambient,Add to List",£17.99,,,"Case of,6",£17.99,
261653,"Stella Artois Belgium Premium Lager 4 x 568ml,Ambient,Add to List",£25.49,,,"Case of,6",£25.49,
203627,"Stella Artois Lager Beer Bottles 12 x 284ml,Ambient,Add to List",£8.79,,,,£8.79,
129575,"Stella Artois Lager Beer Bottles 12 x 660ml,Ambient,Add to List",£18.39,,,"Case of,12",£18.39,
259067,"Stella Artois Lager Beer Bottles 20 x 284ml,Ambient,Add to List",£10.49,,,,£10.49,
211479,"Stella Artois Lager Beer Bottles 6 x 330ml,Ambient,Add to List",£13.99,,,"Case of,4",£13.99,
199712,"Super Bock Premium Lager 4 x 33cl,Ambient,Add to List",£17.99,,,"Case of,6",£17.99,
187881,"Tiger Asian Lager Beer 640ml Bottle,Ambient,Add to List",£18.29,,,"Case of,12",£18.29,
90082,"Awaiting image,Ambient,Add to List",£18.49,,,"Case of,24",£18.49,
236264,"Tyskie 4 x 500ml,Ambient,Add to List",£22.99,,,"Case of,6",£22.99,
236366,"Tyskie 650ml,Ambient,Add to List",£21.99,,,"Case of,15",£21.99,
