"case","code","img_small","por","rrp","sub_cat_code","temperature","wsp"
"10","122826","https://media.booker.co.uk/1/34e97379-bc4e-4e3f-9875-50e5536a1bc9.jpg","","","CS13_200460","Frozen"," 54.89"
"","122827","https://media.booker.co.uk/1/34e97379-bc4e-4e3f-9875-50e5536a1bc9.jpg","","","CS13_200460","Frozen"," 5.49"
"6","3087","https://media.booker.co.uk/1/6ac3148c-0316-4da6-907f-2e8d60c1dd5c.jpg","","","CS13_200460","Frozen"," 39.99"
"","3053","https://media.booker.co.uk/1/6ac3148c-0316-4da6-907f-2e8d60c1dd5c.jpg","","","CS13_200460","Frozen"," 6.69"
"4","273635","https://media.booker.co.uk/1/89a09537-af3a-42e6-86e5-02f82d860423.jpg","","","CS13_200460","Frozen"," 73.95"
"","273636","https://media.booker.co.uk/1/89a09537-af3a-42e6-86e5-02f82d860423.jpg","","","CS13_200460","Frozen"," 18.49"
"6","264174","https://media.booker.co.uk/1/ddc20a64-b5dc-4029-80e0-1033a62ec735.jpg","","","CS13_200460","Frozen"," 89.89"
"","264175","https://media.booker.co.uk/1/ddc20a64-b5dc-4029-80e0-1033a62ec735.jpg","","","CS13_200460","Frozen"," 14.99"
"8","255068","https://media.booker.co.uk/1/3ccb7b04-dd16-4470-a113-6707713c6671.jpg","","","CS13_200460","Frozen"," 91.09"
"","255069","https://media.booker.co.uk/1/3ccb7b04-dd16-4470-a113-6707713c6671.jpg","","","CS13_200460","Frozen"," 11.39"
"10","255065","https://media.booker.co.uk/1/c8cd8cb5-76b9-4861-b515-57443beef2cd.jpg","","","CS13_200460","Frozen"," 79.89"
"","255066","https://media.booker.co.uk/1/c8cd8cb5-76b9-4861-b515-57443beef2cd.jpg","","","CS13_200460","Frozen"," 7.99"
"","280686","https://media.booker.co.uk/1/23331ccb-efe5-4fcb-bb2e-7d989c59dbc1.jpg","","","CS13_200460","Frozen"," 19.39"
"","273638","https://media.booker.co.uk/1/c7c5de0b-e3e2-4f36-bc6b-8303d89aa716.jpg","","","CS13_200460","Frozen"," 19.39"
"6","257859","https://media.booker.co.uk/1/cb4ff284-6621-4cbb-8f26-ffed3e0e20ca.jpg","","","CS13_200460","Frozen"," 83.89"
"","257872","https://media.booker.co.uk/1/cb4ff284-6621-4cbb-8f26-ffed3e0e20ca.jpg","","","CS13_200460","Frozen"," 13.99"
"6","276797","https://media.booker.co.uk/1/9805a050-7d55-4325-9446-dbddf3e91415.jpg","","","CS13_200460","Frozen"," 81.49"
"","276798","https://media.booker.co.uk/1/9805a050-7d55-4325-9446-dbddf3e91415.jpg","","","CS13_200460","Frozen"," 13.59"
