barcode,code,sub_cat_code
5060926500461,281757,
5060926500331,280463,
5060926500607,289674,
5060926500584,285212,
7610113022603,285225,
7610113007792,246705,
7640175744267,285469,
7640175742461,254595,
5000281071497,285215,
5000281072630,280573,
5011166068983,285493,
5011166069102,285492,
5060257212989,260375,
5060257213047,259998,
5060257213009,259779,
5060257213160,259529,
5060257214112,288249,
5060257213085,259997,
5060257213122,261615,
5060257213634,273488,
5060257213948,288236,
5060257213788,282469,
5060257213580,271724,
5060257214020,288243,
5060257214129,288264,
1230000039208,283029,
5060065304371,285713,
5060065304395,285714,
5060065304388,285717,
1230000039147,279749,
5060065301752,249162,
05060065304821,1020698,
05060065305064,1020999,
05060065304838,1020699,
7640175712235,285216,
7640175712259,285219,
5000289936170,280574,
05000289927413,1016697,
05000289927444,1016701,
5000289936194,280575,
05000289929905,1016695,
5000289936217,280549,
5032678003866,137357,
5032678008946,259863,
5449000193643,285523,
5449000170095,285524,
5099873022245,271854,
5012461002566,207458,
15012461005052,1019843,
5012461002597,247975,
05000281038469,1016698,
15060676750113,1020610,
15060676750106,1020643,
15060676750144,1020611,
15060676750472,1020609,
05010262700315,1016702,
5010262703392,277462,
5410316967198,280633,
5410316967983,280577,
05410316945387,1016700,
5410316967907,280612,
5410316967921,280615,
5410316992015,97677,
5410316967860,280616,
5410316968102,283034,
5410316967884,280618,
5000291025787,281587,
5032678013261,288893,
5032678012462,286954,
5032678000490,180277,
5032678012875,288331,
5032678000179,179764,
5032678012387,286957,
5032678009004,259526,
05391537510083,1019695,
5391537510021,261604,
5024993732637,289008,
5024993732347,285168,
5024993732033,271613,
5024993732477,284906,
5024993732354,287214,
5024993862303,285834,
5024993732378,285164,
5024993861276,285167,
05024993862143,280632,
05024993862167,280629,
5060926500461,281757,
5060926500331,280463,
5060926500607,289674,
5060926500584,285212,
7610113022603,285225,
7610113007792,246705,
7640175744267,285469,
7640175742461,254595,
5000281071497,285215,
