code,sub_cat_name,sub_cat_code
257144,Cider,CS13_200020
257245,Cider,CS13_200020
257104,Cider,CS13_200020
257109,Cider,CS13_200020
256747,Cider,CS13_200020
257459,Cider,CS13_200020
324441,Cider,CS13_200020
257086,Cider,CS13_200020
226486,Cider,CS13_200020
255814,Cider,CS13_200020
236728,Cider,CS13_200020
117098,Cider,CS13_200020
125824,Cider,CS13_200020
97648,Cider,CS13_200020
247258,Cider,CS13_200020
176622,Ready to Drink,CS13_200040
97677,Ready to Drink,CS13_200040
107373,Ready to Drink,CS13_200040
242749,Ready to Drink,CS13_200040
1016680,Ready to Drink,CS13_200040
1016686,Ready to Drink,CS13_200040
1016682,Ready to Drink,CS13_200040
1016679,Ready to Drink,CS13_200040
1016693,Ready to Drink,CS13_200040
250128,Ready to Drink,CS13_200040
250143,Ready to Drink,CS13_200040
250129,Ready to Drink,CS13_200040
1016152,Ready to Drink,CS13_200040
1016150,Ready to Drink,CS13_200040
1016697,Ready to Drink,CS13_200040
1016701,Ready to Drink,CS13_200040
242853,Ready to Drink,CS13_200040
242258,Ready to Drink,CS13_200040
1016695,Ready to Drink,CS13_200040
242126,Ready to Drink,CS13_200040
242127,Ready to Drink,CS13_200040
242259,Ready to Drink,CS13_200040
137357,Ready to Drink,CS13_200040
259524,Ready to Drink,CS13_200040
203164,Ready to Drink,CS13_200040
149866,Ready to Drink,CS13_200040
251313,Ready to Drink,CS13_200040
261442,Ready to Drink,CS13_200040
1016698,Ready to Drink,CS13_200040
1016702,Ready to Drink,CS13_200040
247708,Ready to Drink,CS13_200040
1016700,Ready to Drink,CS13_200040
244058,Ready to Drink,CS13_200040
1016699,Ready to Drink,CS13_200040
237269,Ready to Drink,CS13_200040
249228,Ready to Drink,CS13_200040
243442,Ready to Drink,CS13_200040
260524,Ready to Drink,CS13_200040
260523,Ready to Drink,CS13_200040
180277,Ready to Drink,CS13_200040
259468,Ready to Drink,CS13_200040
179764,Ready to Drink,CS13_200040
259526,Ready to Drink,CS13_200040
243669,Ready to Drink,CS13_200040
259525,Ready to Drink,CS13_200040
194632,Ready to Drink,CS13_200040
129674,Ready to Drink,CS13_200040
256224,Ready to Drink,CS13_200040
176623,Ready to Drink,CS13_200040
130537,Ready to Drink,CS13_200040
260282,Ready to Drink,CS13_200040
165658,Ready to Drink,CS13_200040
249522,Ready to Drink,CS13_200040
249242,Ready to Drink,CS13_200040
194855,Biscuit Bars,CS13_200050
263028,Biscuit Bars,CS13_200050
241748,Biscuit Bars,CS13_200050
215155,Biscuit Bars,CS13_200050
244718,Biscuit Bars,CS13_200050
256288,Biscuit Bars,CS13_200050
237637,Biscuit Bars,CS13_200050
217709,Biscuit Bars,CS13_200050
263423,Biscuit Bars,CS13_200050
263424,Biscuit Bars,CS13_200050
217478,Biscuit Bars,CS13_200050
253959,Biscuit Bars,CS13_200050
253958,Biscuit Bars,CS13_200050
252022,Biscuit Bars,CS13_200050
66814,Biscuit Bars,CS13_200050
253774,Biscuit Bars,CS13_200050
253756,Biscuit Bars,CS13_200050
253754,Biscuit Bars,CS13_200050
253842,Biscuit Bars,CS13_200050
253759,Biscuit Bars,CS13_200050
253752,Biscuit Bars,CS13_200050
253746,Biscuit Bars,CS13_200050
253776,Biscuit Bars,CS13_200050
258388,Biscuit Bars,CS13_200050
258387,Biscuit Bars,CS13_200050
258854,Biscuit Bars,CS13_200050
258842,Biscuit Bars,CS13_200050
258383,Biscuit Bars,CS13_200050
258382,Biscuit Bars,CS13_200050
246569,Biscuit Bars,CS13_200050
245432,Biscuit Bars,CS13_200050
234387,Biscuit Bars,CS13_200050
263634,Biscuit Bars,CS13_200050
242653,Biscuit Bars,CS13_200050
217763,Biscuit Bars,CS13_200050
236605,Biscuit Bars,CS13_200050
175575,Biscuit Bars,CS13_200050
175573,Biscuit Bars,CS13_200050
175572,Biscuit Bars,CS13_200050
224313,Biscuit Bars,CS13_200050
224312,Biscuit Bars,CS13_200050
230386,Biscuit Bars,CS13_200050
230382,Biscuit Bars,CS13_200050
258385,Biscuit Bars,CS13_200050
217326,Biscuit Bars,CS13_200050
217327,Biscuit Bars,CS13_200050
84792,Catering Biscuits,CS13_200060
87018,Catering Biscuits,CS13_200060
141223,Catering Biscuits,CS13_200060
168863,Catering Biscuits,CS13_200060
168865,Catering Biscuits,CS13_200060
84565,Catering Biscuits,CS13_200060
505100,Catering Biscuits,CS13_200060
505110,Catering Biscuits,CS13_200060
110947,Catering Biscuits,CS13_200060
110948,Catering Biscuits,CS13_200060
81902,Catering Biscuits,CS13_200060
939340,Catering Biscuits,CS13_200060
232522,Catering Biscuits,CS13_200060
136115,Catering Biscuits,CS13_200060
114712,Catering Biscuits,CS13_200060
135793,Catering Biscuits,CS13_200060
135795,Catering Biscuits,CS13_200060
89948,Catering Biscuits,CS13_200060
244044,Catering Biscuits,CS13_200060
84552,Catering Biscuits,CS13_200060
84519,Catering Biscuits,CS13_200060
580969,Catering Biscuits,CS13_200060
418202,Catering Biscuits,CS13_200060
124674,Catering Biscuits,CS13_200060
124673,Catering Biscuits,CS13_200060
136116,Catering Biscuits,CS13_200060
221198,Catering Biscuits,CS13_200060
135796,Catering Biscuits,CS13_200060
1016335,Catering Biscuits,CS13_200060
134840,Retail Biscuits,CS13_200070
259049,Retail Biscuits,CS13_200070
120992,Retail Biscuits,CS13_200070
241237,Retail Biscuits,CS13_200070
260428,Retail Biscuits,CS13_200070
191504,Retail Biscuits,CS13_200070
191505,Retail Biscuits,CS13_200070
952060,Retail Biscuits,CS13_200070
180697,Retail Biscuits,CS13_200070
259066,Retail Biscuits,CS13_200070
259017,Retail Biscuits,CS13_200070
244847,Retail Biscuits,CS13_200070
255770,Retail Biscuits,CS13_200070
259064,Retail Biscuits,CS13_200070
216203,Retail Biscuits,CS13_200070
239642,Retail Biscuits,CS13_200070
239628,Retail Biscuits,CS13_200070
262933,Retail Biscuits,CS13_200070
258844,Retail Biscuits,CS13_200070
258843,Retail Biscuits,CS13_200070
252844,Retail Biscuits,CS13_200070
247142,Retail Biscuits,CS13_200070
205862,Retail Biscuits,CS13_200070
253159,Retail Biscuits,CS13_200070
252845,Retail Biscuits,CS13_200070
217958,Retail Biscuits,CS13_200070
222956,Retail Biscuits,CS13_200070
217945,Retail Biscuits,CS13_200070
253157,Retail Biscuits,CS13_200070
116954,Retail Biscuits,CS13_200070
116905,Retail Biscuits,CS13_200070
134875,Retail Biscuits,CS13_200070
259048,Retail Biscuits,CS13_200070
121873,Retail Biscuits,CS13_200070
261253,Retail Biscuits,CS13_200070
178219,Retail Biscuits,CS13_200070
120919,Retail Biscuits,CS13_200070
230732,Retail Biscuits,CS13_200070
230733,Retail Biscuits,CS13_200070
128493,Retail Biscuits,CS13_200070
230635,Retail Biscuits,CS13_200070
178296,Retail Biscuits,CS13_200070
134859,Retail Biscuits,CS13_200070
134872,Retail Biscuits,CS13_200070
216204,Retail Biscuits,CS13_200070
178295,Retail Biscuits,CS13_200070
199862,Retail Biscuits,CS13_200070
120989,Retail Biscuits,CS13_200070
263546,Retail Biscuits,CS13_200070
259065,Retail Biscuits,CS13_200070
134856,Retail Biscuits,CS13_200070
216205,Retail Biscuits,CS13_200070
124822,Retail Biscuits,CS13_200070
230085,Retail Biscuits,CS13_200070
230087,Retail Biscuits,CS13_200070
246083,Retail Biscuits,CS13_200070
124819,Retail Biscuits,CS13_200070
124364,Retail Biscuits,CS13_200070
218227,Retail Biscuits,CS13_200070
203094,Retail Biscuits,CS13_200070
135316,Retail Biscuits,CS13_200070
260044,Retail Biscuits,CS13_200070
260015,Retail Biscuits,CS13_200070
260014,Retail Biscuits,CS13_200070
229944,Retail Biscuits,CS13_200070
115517,Retail Biscuits,CS13_200070
261066,Retail Biscuits,CS13_200070
237516,Retail Biscuits,CS13_200070
237515,Retail Biscuits,CS13_200070
256799,Retail Biscuits,CS13_200070
250187,Retail Biscuits,CS13_200070
253859,Retail Biscuits,CS13_200070
220873,Retail Biscuits,CS13_200070
237244,Retail Biscuits,CS13_200070
237238,Retail Biscuits,CS13_200070
255102,Retail Biscuits,CS13_200070
237239,Retail Biscuits,CS13_200070
237518,Retail Biscuits,CS13_200070
256617,Retail Biscuits,CS13_200070
190774,Retail Biscuits,CS13_200070
256816,Retail Biscuits,CS13_200070
261103,Retail Biscuits,CS13_200070
260993,Retail Biscuits,CS13_200070
260991,Retail Biscuits,CS13_200070
177539,Retail Biscuits,CS13_200070
246574,Retail Biscuits,CS13_200070
223236,Retail Biscuits,CS13_200070
202399,Retail Biscuits,CS13_200070
186292,Retail Biscuits,CS13_200070
252488,Retail Biscuits,CS13_200070
