BPLIC,alt,category,info_r1,info_r2,pack,price,promotionText
244338,"Duni Joy Table Cover Reel 1.18 x 25m,Ambient,Add to List",,,,"Case of,2",£42.99,
244339,"Duni Joy Table Cover Reel 1.18 x 25m,Ambient,Add to List",,,,,£21.99,
244296,"Duni Wow 14 Slipcovers Evolin White,Cheaper By The Case,Ambient,Add to List",,,,"Case of,6",£64.99,
244297,"Duni Wow 14 Slipcovers Evolin White,Cheaper By The Case,Ambient,Add to List",,,,,£16.99,
244656,"Chef's Larder 100 Napkins Black 2 Ply,Cheaper By The Case,Ambient,Add to List",,,,"Case of,20",£32.99,
244658,"Chef's Larder 100 Napkins Black 2 Ply,Cheaper By The Case,Ambient,Add to List",,,,,£3.19,
244659,"Chef's Larder 100 Napkins Bordeaux 2 Ply,Cheaper By The Case,Ambient,Add to List",,,,"Case of,20",£32.99,
244662,"Chef's Larder 100 Napkins Bordeaux 2 Ply,Cheaper By The Case,Ambient,Add to List",,,,,£3.19,
244654,"Chef's Larder 100 Napkins Champagne 2 Ply,Cheaper By The Case,Ambient,Add to List",,,,"Case of,20",£32.99,
244655,"Chef's Larder 100 Napkins Champagne 2 Ply,Cheaper By The Case,Ambient,Add to List",,,,,£3.19,
244663,"Chef's Larder 100 Napkins White 2 Ply,Cheaper By The Case,Ambient,Add to List",,,,"Case of,20",£25.99,
244664,"Chef's Larder 100 Napkins White 2 Ply,Cheaper By The Case,Ambient,Add to List",,,,,£2.59,
133269,"Chef's Larder 125 2 Ply Dark Green Napkins 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,"Case of,10",£26.99,
105303,"Chef's Larder 125 2 Ply Dark Green Napkins 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,,£5.49,
106493,"Duni 250 Doilies 20 x 30cm,Cheaper By The Case,Ambient,Add to List",,,,"Case of,8",£56.49,
106494,"Duni 250 Doilies 20 x 30cm,Cheaper By The Case,Ambient,Add to List",,,,,£7.79,
106513,"Duni 250 Doilies 23cm,Ambient,Add to List",,,,"Case of,8",£51.99,
106514,"Duni 250 Doilies 23cm,Ambient,Add to List",,,,,£6.59,
40341,"Jacob's Mini Cheddars Original Cheese Snacks 50g,Ambient,Add to List",,,,"Case of,30",£16.35,
171513,"MS Traditional Pork Scratchings Seasoned Pork Rind,Ambient,Add to List",,,,"Case of,12",£6.25,
533745,"Smiths Bacon Snacks 24g,Ambient,Add to List",,,,"Case of,24",£7.49,
534289,"Smiths Scampi & Lemon Snacks 27g,Ambient,Add to List",,,,"Case of,24",£7.49,
201620,"Walkers Cheese & Onion Crisps 32.5g,Ambient,Add to List",,,,"Case of,32",£11.59,
201622,"Walkers Ready Salted Crisps 32.5g,Ambient,Add to List",,,,"Case of,32",£11.59,
201625,"Walkers Salt & Vinegar Crisps 32.5g,Ambient,Add to List",,,,"Case of,32",£11.59,
255456,"Doritos Chilli Heatwave Tortilla Chips PMP 70g,Ambient,Add to List",,,,"Case of,15",£10.99,
255483,"Doritos Tangy Cheese Tortilla Chips PMP 70g,Ambient,Add to List",,,,"Case of,15",£10.99,
247923,"Happy Shopper Cheese Puffs 70g,Ambient,Add to List",,,,"Case of,16",£4.65,
247926,"Happy Shopper Onion Rings 70g,Ambient,Add to List",,,,"Case of,16",£4.65,
247615,"Hula Hoops Big Hoops BBQ Beef Flavour Potato Rings 80g,Ambient,Add to List",,,,"Case of,16",£9.19,
249382,"Nik Naks Nice 'N' Spicy Flavour 85g,Ambient,Add to List",,,,"Case of,16",£9.19,
92492,"Pom-Bear Original Potato Snacks 19g,Prices Down,Ambient,Add to List",,,,"Case of,36",£9.29,Normal WSP: £13.79 Now £9.29 SAVE £4.50
239113,"Burts British Hand Cooked Potato Chips Sea Salt 150g,Ambient,Add to List",,,,"Case of,10",£6.99,
250343,"Chef's Larder Chilli Tortilla Chips 454g,Ambient,Add to List",,,,"Case of,6",£8.49,
250344,"Chef's Larder Chilli Tortilla Chips 454g,Ambient,Add to List",,,,,£1.49,
248206,"Chef's Larder Lightly Salted Tortilla Chips 454g,Ambient,Add to List",,,,"Case of,6",£8.49,
248207,"Chef's Larder Lightly Salted Tortilla Chips 454g,Ambient,Add to List",,,,,£1.49,
248208,"Chef's Larder Tangy Cheese Tortilla Chips 454g,Ambient,Add to List",,,,"Case of,6",£8.49,
248209,"Chef's Larder Tangy Cheese Tortilla Chips 454g,Ambient,Add to List",,,,,£1.49,
478850,"Jacob's Baked Mini Cheddars Original,Ambient,Add to List",,,,"Case of,44",£18.49,
325201,"Jacob's Mini Cheddars Branston Pickle Flavour Cheese Snacks 50g,Ambient,Add to List",,,,"Case of,30",£16.35,
186781,"Jacobs Twiglets Original Baked Snacks 12 x 45g,Ambient,Add to List",,,,"Case of,48",£29.99,
186771,"Jacobs Twiglets Original Baked Snacks 12 x 45g,Ambient,Add to List",,,,"Case of,12",£7.69,
11123,"KETTLE® Chips Lightly Salted 40g,Ambient,Add to List",,,,"Case of,18",£6.99,
11215,"KETTLE® Chips Sea Salt & Crushed Black Peppercorns 40g,Ambient,Add to List",,,,"Case of,18",£6.99,
75144,"KETTLE® Mature Cheddar & Red Onion British Potato Chips 40g,Ambient,Add to List",,,,"Case of,18",£6.99,
15254,"KETTLE® Sea Salt & Balsamic Vinegar of Modena 40g,Ambient,Add to List",,,,"Case of,18",£6.99,
80423,"KETTLE® Sweet Chilli & Sour Cream 40g,Ambient,Add to List",,,,"Case of,18",£6.99,
238944,"McCoy's Cheddar & Onion Flavour Ridge Cut Potato Crisps 47.5g,Ambient,Add to List",,,,"Case of,26",£14.29,
535195,"McVitie's Baked Mini Cheddars Original Cheese Snacks 12 x 35g,Ambient,Add to List",,,,"Case of,12",£4.99,
84456,"Mr. Porky Prime Cut Scratchings 35g,Ambient,Add to List",,,,"Case of,12",£7.89,
102519,"Pringles BBQ Crisps 40g,Ambient,Add to List",,,,"Case of,12",£5.79,
102476,"Pringles Original Crisps 40g,Ambient,Add to List",,,,"Case of,12",£5.79,
102482,"Pringles Salt & Vinegar Crisps 40g,Ambient,Add to List",,,,"Case of,12",£5.79,
102477,"Pringles Sour Cream & Onion Crisps 40g,Ambient,Add to List",,,,"Case of,12",£5.79,
128665,"Real Handcooked Ham & English Mustard Flavour Potato Crisps 50g,Ambient,Add to List",,,,"Case of,18",£9.49,
128666,"Real Handcooked Jalapeno Pepper Flavour Potato Crisps 50g,Ambient,Add to List",,,,"Case of,18",£9.49,
102174,"Real Handcooked Roast Ox Flavour Potato Crisps 50g,Ambient,Add to List",,,,"Case of,18",£9.49,
102176,"Real Handcooked Sea Salt & Malt Vinegar Flavour Potato Crisps 50g,Ambient,Add to List",,,,"Case of,18",£9.49,
102175,"Real Handcooked Sea Salt Potato Crisps 50g,Ambient,Add to List",,,,"Case of,18",£9.49,
102173,"Real Handcooked Strong Cheese & Onion Flavour Potato Crisps 50g,Ambient,Add to List",,,,"Case of,18",£9.49,
238942,"The Real McCoy's Flame Grilled Steak Ridge Cut Potato Crisps 47.5g,Ambient,Add to List",,,,"Case of,26",£11.69,
238943,"The Real McCoy's Salt & Malt Vinegar Flavour Ridge Cut Potato Crisps 47.5g,Ambient,Add to List",,,,"Case of,26",£14.29,
90926,"Walkers Baked Cheese & Onion Snack 37.5g,Ambient,Add to List",,,,"Case of,32",£13.79,
243142,"Walkers Cheese & Onion Crisps 65p PMP 32.5g,Ambient,Add to List",,,,"Case of,32",£10.75,
