additional_information,additives,alcohol_units,alcohol_volume,allergy_advice,alternative_products,beverage_type,brand,cat_code,cat_name,closure_type,code,current_vintage,description,freezing_guidelines,grape_variety,img_big_guid,img_small_guid,ingredients,manufacturer,name,nutrition_notes,nutrition_table,on_offer,origin_country,pack_type,packaging,packed_country,por,prepare_and_use,producer,recycling,rrp,rt_qty,shelf_id,size,storage_information,storage_type,sub_cat_code,sub_cat_name,tasting_notes,unit_description,vat,wine_colour,wine_maker,ws_qty,wsp_exl_vat,wsp_inc_vat
,,,,,,,,,,,242988,,,,,,/bbimages/1/4c103c7c-9c16-425e-8b9f-bc0ee3e85fd6.jpg,,,Happy Shopper Sliced Lamb Liver 350g,,,,,,,,,,,,,350g,,,,Frozen,CS13_200530,,,,0%,,,,£1.39,
,,,,,,,,,,,131236,,,,,,/graphics/ni/ni90.jpg,,,Supertops Sliced Pepperoni,,,,,,,,,,,,,1kg,,,,Frozen,CS13_200510,,,,0%,,,,£7.49,
,,,,,,,,,,,122816,,,,,,/bbimages/1/ec444f75-1f13-4df5-893c-4f7121f7ba3c.jpg,,,Brioche Pasquier 10 Lemon Tartlets 800g,,,,,,,,,,,,,10s,,,,Frozen,CS13_200460,,,,0%,,,"Case of,4",£41.95,
,,,,,,,,,,,122817,,,,,,/bbimages/1/ec444f75-1f13-4df5-893c-4f7121f7ba3c.jpg,,,Brioche Pasquier 10 Lemon Tartlets 800g,,,,,,,,,,,,,10s,,,,Frozen,CS13_200460,,,,0%,,,,£10.49,
,,,,,,,,,,,81741,,,,,,/bbimages/1/a4729a25-847d-423f-85c8-0cf38ea9045c.jpg,,,Blakemans Quick Frozen Cooked Pork Jumbo Sausage (Approximately 20 sausages per pack),,,,,,,,,,,,,2kg,,,,Frozen,CS13_200450,,,,0%,,,"Case of,5",£42.45,
,,,,,,,,,,,374421,,,,,,/bbimages/1/159f9ee8-6fdc-4edd-93bf-9d2a004c6e57.jpg,,,Lamb Kidneys (NZ),,,,,,,,,,,,,3.63kg,,,,Frozen,CS13_200530,,,,0%,,,"Case of,6",£101.94,
,,,,,,,,,,,138952,,,,,,/bbimages/1/fad4035d-03a8-46f7-ac27-79ec5c7b06f7.jpg,,,Brioche Pasquier 36 Macarons 360g,,,,,,,,,,,,,36s,,,,Frozen,CS13_200460,,,,0%,,,"Case of,8",£79.89,
,,,,,,,,,,,81731,,,,,,/bbimages/1/a4729a25-847d-423f-85c8-0cf38ea9045c.jpg,,,Blakemans Quick Frozen Cooked Pork Jumbo Sausage (Approximately 20 sausages per pack),,,,,,,,,,,,,2kg,,,,Frozen,CS13_200450,,,,0%,,,,£8.49,
,,,,,,,,,,,374413,,,,,,/bbimages/1/159f9ee8-6fdc-4edd-93bf-9d2a004c6e57.jpg,,,Lamb Kidneys (NZ),,,,,,,,,,,,,3.63kg,,,,Frozen,CS13_200530,,,,0%,,,,£16.99,
,,,,,,,,,,,138953,,,,,,/bbimages/1/fad4035d-03a8-46f7-ac27-79ec5c7b06f7.jpg,,,Brioche Pasquier 36 Macarons 360g,,,,,,,,,,,,,36s,,,,Frozen,CS13_200460,,,,0%,,,,£9.99,
,,,,,,,,,,,175499,,,,,,/bbimages/1/ac50a78a-21b9-4025-8ea1-db7e7c88a702.jpg,,,Chef's Larder 20 Yorkshire Puddings 560g,,,,,,,,,,,,,20pk,,,,Frozen,CS13_200440,,,,0%,,,"Case of,3",£5.49,
,,,,,,,,,,,83411,,,,,,/bbimages/1/ed130290-9e18-476b-b292-762c8f7a6100.jpg,,,Blakemans Quick Frozen Cooked Pork Sausage 8's (Approximately 45 sausages per pack),,,,,,,,,,,,,2kg,,,,Frozen,CS13_200450,,,,0%,,,"Case of,5",£42.45,
,,,,,,,,,,,191286,,,,,,/bbimages/1/201b9f63-5ded-4c8f-88b9-a2a103795218.jpg,,,Brioche Pasquier 53 Petits Fours 735g,,,,,,,,,,,,,735g,,,,Frozen,CS13_200460,,,,0%,,,"Case of,4",£67.95,
,,,,,,,,,,,175500,,,,,,/bbimages/1/ac50a78a-21b9-4025-8ea1-db7e7c88a702.jpg,,,Chef's Larder 20 Yorkshire Puddings 560g,,,,,,,,,,,,,20pk,,,,Frozen,CS13_200440,,,,0%,,,,£2.09,
,,,,,,,,,,,83401,,,,,,/bbimages/1/ed130290-9e18-476b-b292-762c8f7a6100.jpg,,,Blakemans Quick Frozen Cooked Pork Sausage 8's (Approximately 45 sausages per pack),,,,,,,,,,,,,2kg,,,,Frozen,CS13_200450,,,,0%,,,,£8.49,
,,,,,,,,,,,191287,,,,,,/bbimages/1/201b9f63-5ded-4c8f-88b9-a2a103795218.jpg,,,Brioche Pasquier 53 Petits Fours 735g,,,,,,,,,,,,,735g,,,,Frozen,CS13_200460,,,,0%,,,,£16.99,
,,,,,,,,,,,142608,,,,,,/bbimages/1/fc0650a4-2d41-4a7e-9081-3a97307b93ad.jpg,,,Chef's Larder Diced Beef 2kg,,,,,,,,,,,,,2kg,,,,Frozen,CS13_200520,,,,0%,,,"Case of,6",£65.94,
,,,,,,,,,,,490310,,,,,,/bbimages/1/50432ca1-8723-4ded-9a22-f758bf4e2681.jpg,,,Chef's Larder 48 Floured Baps,,,,,,,,,,,,,48spk,,,,Frozen,CS13_200440,,,,0%,,,,£8.39,
,,,,,,,,,,,205705,,,,,,/bbimages/1/280a19a8-b575-471e-9a38-6c2f2d2d4f47.jpg,,,Chef's Larder Premium 60 Mini Artisan Bread Rolls,,,,,,,,,,,,,60s,,,,Frozen,CS13_200440,,,,0%,,,,£11.99,
,,,,,,,,,,,190852,,,,,,/bbimages/1/d1a7c5ba-aca4-4189-b33c-fd53f7989261.jpg,,,Bakers Best Chicken & Mushroom Deep Fill Pies 6 x 230g,,,,,,,,,,,,,6x230g,,,,Frozen,CS13_200440,,,,0%,,,"Case of,8",£51.09,
,,,,,,,,,,,7170,,,,,,/bbimages/1/49262612-546d-494c-b2e4-4284398e3be0.jpg,,,Blakemans Supreme Quick Frozen Cocktail Sausages 2.27kg,,,,,,,,,,,,,2.27kg,,,,Frozen,CS13_200450,,,,0%,,,"Case of,2",£14.99,
,,,,,,,,,,,3087,,,,,,/bbimages/1/3108c5ad-7e23-4208-bf0b-f61a83822d87.jpg,,,Chef's Larder 24 (Average) Profiteroles 540g,,,,,,,,,,,,,24x22g,,,,Frozen,CS13_200460,,,,0%,,,"Case of,6",£28.09,
,,,,,,,,,,,142609,,,,,,/bbimages/1/fc0650a4-2d41-4a7e-9081-3a97307b93ad.jpg,,,Chef's Larder Diced Beef 2kg,,,,,,,,,,,,,2kg,,,,Frozen,CS13_200520,,,,0%,,,,£10.99,
,,,,,,,,,,,142574,,,,,,/bbimages/1/588b3392-3728-428f-ae30-c27cfe80be74.jpg,,,Chef's Larder Diced Beef Steak & Kidney 2kg,,,,,,,,,,,,,2kg,,,,Frozen,CS13_200520,,,,0%,,,"Case of,6",£59.94,
,,,,,,,,,,,142575,,,,,,/bbimages/1/588b3392-3728-428f-ae30-c27cfe80be74.jpg,,,Chef's Larder Diced Beef Steak & Kidney 2kg,,,,,,,,,,,,,2kg,,,,Frozen,CS13_200520,,,,0%,,,,£9.99,
,,,,,,,,,,,190853,,,,,,/bbimages/1/d1a7c5ba-aca4-4189-b33c-fd53f7989261.jpg,,,Bakers Best Chicken & Mushroom Deep Fill Pies 6 x 230g,,,,,,,,,,,,,6x230g,,,,Frozen,CS13_200440,,,,0%,,,,£6.39,
,,,,,,,,,,,7180,,,,,,/bbimages/1/49262612-546d-494c-b2e4-4284398e3be0.jpg,,,Blakemans Supreme Quick Frozen Cocktail Sausages 2.27kg,,,,,,,,,,,,,2.27kg,,,,Frozen,CS13_200450,,,,0%,,,,£7.49,
,,,,,,,,,,,147650,,,,,,/bbimages/1/ced734e2-26f1-4075-ac5d-b226749272cb.jpg,,,Chef's Essentials 50 Sausages 2.125kg,,,,,,,,,,,,,2.125kg,,,,Frozen,CS13_200450,,,,0%,,,"Case of,6",£26.94,
,,,,,,,,,,,147653,,,,,,/bbimages/1/ced734e2-26f1-4075-ac5d-b226749272cb.jpg,,,Chef's Essentials 50 Sausages 2.125kg,,,,,,,,,,,,,2.125kg,,,,Frozen,CS13_200450,,,,0%,,,,£4.49,
,,,,,,,,,,,3053,,,,,,/bbimages/1/3108c5ad-7e23-4208-bf0b-f61a83822d87.jpg,,,Chef's Larder 24 (Average) Profiteroles 540g,,,,,,,,,,,,,24x22g,,,,Frozen,CS13_200460,,,,0%,,,,£4.69,
,,,,,,,,,,,142526,,,,,,/bbimages/1/fcaeb4ac-1dde-46ed-8456-25c23dee594f.jpg,,,Chef's Larder Minced Beef 2.25kg,,,,,,,,,,,,,2.25kg,,,,Frozen,CS13_200520,,,,0%,,,"Case of,6",£65.94,
,,,,,,,,,,,142527,,,,,,/bbimages/1/fcaeb4ac-1dde-46ed-8456-25c23dee594f.jpg,,,Chef's Larder Minced Beef 2.25kg,,,,,,,,,,,,,2.25kg,,,,Frozen,CS13_200520,,,,0%,,,,£10.99,
,,,,,,,,,,,52777,,,,,,/graphics/ni/ni90.jpg,,,Imported Beef Ribeye,,,,,,,,,,,,,14kg,,,,Frozen,CS13_200520,,,,0%,,,,£7.99/Kg,
,,,,,,,,,,,236723,,,,,,/bbimages/1/b589740f-6fe5-416b-a9fd-580620111b0f.jpg,,,Bakers Best Chicken Bake 24 x 155g (3.72kg),,,,,,,,68.2%,,,,£35.76,24x155g,,,,Frozen,CS13_200440,,,,0%,,,,£11.39,
,,,,,,,,,,,95511,,,,,,/bbimages/1/eed57339-d082-416e-9a32-b1ad831b2c3e.jpg,,,Chef's Larder 100 (Average) Cocktail Pork & Beef Sausages 1.42kg,,,,,,,,,,,,,1.42kg,,,,Frozen,CS13_200450,,,,0%,,,"Case of,8",£51.92,
,,,,,,,,,,,193989,,,,,,/bbimages/1/49ee4145-9740-45e6-bb53-fae5a8eaf7d1.jpg,,,Chef's Larder Individual Chocolate Sponge Puddings 12 x 125g,,,,,,,,,,,,,12s,,,,Frozen,CS13_200460,,,,0%,,,,£13.49,
,,,,,,,,,,,587580,,,,,,/graphics/ni/ni90.jpg,,,Imported C/Off Beef Fillet,,,,,,,,,,,,,15kg,,,,Frozen,CS13_200520,,,,0%,,,,£15.99/Kg,
,,,,,,,,,,,190854,,,,,,/bbimages/1/9fa01b0b-8e3f-46b2-a0c8-bee98a2fc7d0.jpg,,,Bakers Best Jumbo Sausage Rolls 6 x 170g,,,,,,,,,,,,,6x170g,,,,Frozen,CS13_200440,,,,0%,,,"Case of,8",£37.49,
,,,,,,,,,,,95501,,,,,,/bbimages/1/eed57339-d082-416e-9a32-b1ad831b2c3e.jpg,,,Chef's Larder 100 (Average) Cocktail Pork & Beef Sausages 1.42kg,,,,,,,,,,,,,1.42kg,,,,Frozen,CS13_200450,,,,0%,,,,£6.49,
,,,,,,,,,,,193988,,,,,,/bbimages/1/617f6964-93ea-44f0-be13-1ff8651d0991.jpg,,,Chef's Larder Individual Sticky Toffee Sponge Puddings 12 x 125g,,,,,,,,,,,,,12s,,,,Frozen,CS13_200460,,,,0%,,,,£13.49,
,,,,,,,,,,,242874,,,,,,/bbimages/1/b59698d1-050c-4e46-b929-3521790e7182.jpg,,,Happy Shopper Minced Beef 400g,,,,,,,,30.0%,,,,£2.50,400g,,,,Frozen,CS13_200520,,,,0%,,,"Case of,8",£14.00,
,,,,,,,,,,,190855,,,,,,/bbimages/1/9fa01b0b-8e3f-46b2-a0c8-bee98a2fc7d0.jpg,,,Bakers Best Jumbo Sausage Rolls 6 x 170g,,,,,,,,,,,,,6x170g,,,,Frozen,CS13_200440,,,,0%,,,,£4.69,
,,,,,,,,,,,105141,,,,,,/bbimages/1/5b6e251f-fd88-4c9e-a2cf-64cf1a733447.jpg,,,Chef's Larder 40 (Average) Thick Pork & Beef Sausages 2.27kg,,,,,,,,,,,,,2.27kg,,,,Frozen,CS13_200450,,,,0%,,,"Case of,4",£27.96,
,,,,,,,,,,,233036,,,,,,/bbimages/1/41c90fd6-cd2a-4c47-9f69-d364f0a280cc.jpg,,,Chef's Larder Premium The Ultimate Chocolate Fudge Cake,,,,,,,,,,,,,14ptn,,,,Frozen,CS13_200460,,,,0%,,,"Case of,4",£65.89,
,,,,,,,,,,,223322,,,,,,/bbimages/1/f0d4e6ca-8769-40b7-bbc3-106b6a8c67d9.jpg,,,Rustlers Flame Grilled The Classic Quarter Pounder 190g,,,,,,,,40.0%,,,,£2.00,190g,,,,Chilled,CS13_200400,,,,0%,,,"Case of,4",£4.80,
,,,,,,,,,,,242876,,,,,,/bbimages/1/b59698d1-050c-4e46-b929-3521790e7182.jpg,,,Happy Shopper Minced Beef 400g,,,,,,,,30.0%,,,,£2.50,400g,,,,Frozen,CS13_200520,,,,0%,,,,£1.75,
,,,,,,,,,,,236725,,,,,,/bbimages/1/3807d332-ed82-4b88-b497-c98318587f89.jpg,,,Bakers Best Sausage Roll 40 x 120g (4.8kg),,,,,,,,74.8%,,,,£39.60,40x120g,,,,Frozen,CS13_200440,,,,0%,,,,£9.99,
,,,,,,,,,,,105142,,,,,,/bbimages/1/5b6e251f-fd88-4c9e-a2cf-64cf1a733447.jpg,,,Chef's Larder 40 (Average) Thick Pork & Beef Sausages 2.27kg,,,,,,,,,,,,,2.27kg,,,,Frozen,CS13_200450,,,,0%,,,,£6.99,
,,,,,,,,,,,105134,,,,,,/bbimages/1/e5bbbb71-97a2-483a-9bf3-b52f446c72d9.jpg,,,Chef's Larder 40 (Average) Thick Pork Sausages 2.27kg,,,,,,,,,,,,,2.27kg,,,,Frozen,CS13_200450,,,,0%,,,"Case of,4",£29.96,
,,,,,,,,,,,233037,,,,,,/bbimages/1/41c90fd6-cd2a-4c47-9f69-d364f0a280cc.jpg,,,Chef's Larder Premium The Ultimate Chocolate Fudge Cake,,,,,,,,,,,,,14ptn,,,,Frozen,CS13_200460,,,,0%,,,,£16.49,
,,,,,,,,,,,131386,,,,,,/bbimages/1/60031b6f-6a40-4e9c-97fc-b535c8d27532.jpg,,,Chef's Larder Strawberry Gateau (Pre-Sliced),,,,,,,,,,,,,14ptn,,,,Frozen,CS13_200460,,,,,,,"Case of,6",,
,,,,,,,,,,,223323,,,,,,/bbimages/1/f0d4e6ca-8769-40b7-bbc3-106b6a8c67d9.jpg,,,Rustlers Flame Grilled The Classic Quarter Pounder 190g,,,,,,,,40.0%,,,,£2.00,190g,,,,Chilled,CS13_200400,,,,0%,,,,£1.20,
